ORDER ID: 1, ITEMS: 20;
ORDER ID: 2, ITEMS: 1;
ORDER ID: 3, ITEMS: 12;
ORDER ID: 4, ITEMS: 15;
ORDER ID: 5, ITEMS: 7;
ORDER ID: 6, ITEMS: 9;
ORDER ID: 7, ITEMS: 19;
ORDER ID: 8, ITEMS: 20;
ORDER ID: 9, ITEMS: 2;
ORDER ID: 10, ITEMS: 13;
ORDER ID: 11, ITEMS: 20;
ORDER ID: 12, ITEMS: 1;
ORDER ID: 13, ITEMS: 12;
ORDER ID: 14, ITEMS: 15;
ORDER ID: 15, ITEMS: 7;
ORDER ID: 16, ITEMS: 9;
ORDER ID: 17, ITEMS: 19;
ORDER ID: 18, ITEMS: 20;
ORDER ID: 19, ITEMS: 2;
ORDER ID: 20, ITEMS: 13;
ORDER ID: 21, ITEMS: 20;
ORDER ID: 22, ITEMS: 1;
ORDER ID: 23, ITEMS: 12;
ORDER ID: 24, ITEMS: 15;
ORDER ID: 25, ITEMS: 7;
ORDER ID: 26, ITEMS: 9;
ORDER ID: 27, ITEMS: 19;
ORDER ID: 28, ITEMS: 20;
ORDER ID: 29, ITEMS: 2;
ORDER ID: 30, ITEMS: 13;
ORDER ID: 31, ITEMS: 20;
ORDER ID: 32, ITEMS: 1;
ORDER ID: 33, ITEMS: 12;
ORDER ID: 34, ITEMS: 15;
ORDER ID: 35, ITEMS: 7;
ORDER ID: 36, ITEMS: 9;
ORDER ID: 37, ITEMS: 19;
ORDER ID: 38, ITEMS: 20;
ORDER ID: 39, ITEMS: 2;
ORDER ID: 40, ITEMS: 13;
ORDER ID: 41, ITEMS: 20;
ORDER ID: 42, ITEMS: 1;
ORDER ID: 43, ITEMS: 12;
ORDER ID: 44, ITEMS: 15;
ORDER ID: 45, ITEMS: 7;
ORDER ID: 46, ITEMS: 9;
ORDER ID: 47, ITEMS: 19;
ORDER ID: 48, ITEMS: 20;
ORDER ID: 49, ITEMS: 2;
ORDER ID: 50, ITEMS: 13;
ORDER ID: 51, ITEMS: 20;
ORDER ID: 52, ITEMS: 1;
ORDER ID: 53, ITEMS: 12;
ORDER ID: 54, ITEMS: 15;
ORDER ID: 55, ITEMS: 7;
ORDER ID: 56, ITEMS: 9;
ORDER ID: 57, ITEMS: 19;
ORDER ID: 58, ITEMS: 20;
ORDER ID: 59, ITEMS: 2;
ORDER ID: 60, ITEMS: 13;
ORDER ID: 61, ITEMS: 20;
ORDER ID: 62, ITEMS: 1;
ORDER ID: 63, ITEMS: 12;
ORDER ID: 64, ITEMS: 15;
ORDER ID: 65, ITEMS: 7;
ORDER ID: 66, ITEMS: 9;
ORDER ID: 67, ITEMS: 19;
ORDER ID: 68, ITEMS: 20;
ORDER ID: 69, ITEMS: 2;
ORDER ID: 70, ITEMS: 13;
ORDER ID: 71, ITEMS: 20;
ORDER ID: 72, ITEMS: 1;
ORDER ID: 73, ITEMS: 12;
ORDER ID: 74, ITEMS: 15;
ORDER ID: 75, ITEMS: 7;
ORDER ID: 76, ITEMS: 9;
ORDER ID: 77, ITEMS: 19;
ORDER ID: 78, ITEMS: 20;
ORDER ID: 79, ITEMS: 2;
ORDER ID: 80, ITEMS: 13;
ORDER ID: 81, ITEMS: 20;
ORDER ID: 82, ITEMS: 1;
ORDER ID: 83, ITEMS: 12;
ORDER ID: 84, ITEMS: 15;
ORDER ID: 85, ITEMS: 7;
ORDER ID: 86, ITEMS: 9;
ORDER ID: 87, ITEMS: 19;
ORDER ID: 88, ITEMS: 20;
ORDER ID: 89, ITEMS: 2;
ORDER ID: 90, ITEMS: 13;
ORDER ID: 91, ITEMS: 20;
ORDER ID: 92, ITEMS: 1;
ORDER ID: 93, ITEMS: 12;
ORDER ID: 94, ITEMS: 15;
ORDER ID: 95, ITEMS: 7;
ORDER ID: 96, ITEMS: 9;
ORDER ID: 97, ITEMS: 19;
ORDER ID: 98, ITEMS: 20;
ORDER ID: 99, ITEMS: 2;
ORDER ID: 100, ITEMS: 13;
